Sex,DVRT,Prestige_score,Leaving_Certificate,Educational_level,Type_school
male,113,28,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,101,28,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,110,69,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,121,57,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,82,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,85,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,84,,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,98,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,92,33,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,88,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,84,18,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,114,18,taken,3rd_level_complete,secondary
male,70,57,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,109,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,83,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,108,69,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,95,43,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,90,28,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,107,28,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,86,18,not_taken,Primary_terminal_leaver,primary_terminal_leaver
male,70,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,114,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,117,42,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,112,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,88,,taken,3rd_level_complete,secondary
male,106,42,taken,3rd_level_complete,secondary
male,125,28,taken,3rd_level_complete,secondary
male,94,,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,103,,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
male,123,46,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,100,35,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,27,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,70,51,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,90,46,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,99,,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,123,43,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,127,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,124,62,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,110,27,not_taken,Senior_cycle_incomplete-vocational_school,vocational
male,94,43,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,112,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,123,35,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,70,18,not_taken,Junior_cycle_incomplete-secondary_school,secondary
male,102,43,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,126,27,taken,3rd_level_complete,secondary
male,121,40,taken,Senior_cycle_terminal_leaver-secondary_school,secondary
male,100,43,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,85,31,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,86,31,not_taken,Junior_cycle_terminal_leaver-vocational_school,vocational
male,101,28,not_taken,Junior_cycle_incomplete-vocational_school,vocational
male,91,40,not_taken,Junior_cycle_terminal_leaver-secondary_school,secondary
